setName,pricechartingTitle,pricechartingCardName,pricechartingCardNumber,pricechartingVariant,pricechartingUrl
Fire Red And Leaf Green,Gengar EX #108,Gengar EX,108,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/gengar-ex-108
Fire Red And Leaf Green,Charizard EX #105,Charizard EX,105,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/charizard-ex-105
Fire Red And Leaf Green,Blastoise EX #104,Blastoise EX,104,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/blastoise-ex-104
Fire Red And Leaf Green,Venusaur EX #112,Venusaur EX,112,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/venusaur-ex-112
Fire Red And Leaf Green,Squirtle #83,Squirtle,83,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/squirtle-83
Fire Red And Leaf Green,Gyarados EX #109,Gyarados EX,109,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/gyarados-ex-109
Fire Red And Leaf Green,Squirtle [Reverse Holo] #83,Squirtle,83,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/squirtle-reverse-holo-83
Fire Red And Leaf Green,Articuno EX #114,Articuno EX,114,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/articuno-ex-114
Fire Red And Leaf Green,Charmander #113,Charmander,113,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/charmander-113
Fire Red And Leaf Green,Zapdos EX #116,Zapdos EX,116,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/zapdos-ex-116
Fire Red And Leaf Green,Moltres EX #115,Moltres EX,115,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/moltres-ex-115
Fire Red And Leaf Green,Snorlax #15,Snorlax,15,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/snorlax-15
Fire Red And Leaf Green,Pikachu #74,Pikachu,74,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/pikachu-74
Fire Red And Leaf Green,Pidgeot #10,Pidgeot,10,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/pidgeot-10
Fire Red And Leaf Green,Ditto #4,Ditto,4,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/ditto-4
Fire Red And Leaf Green,Bulbasaur #55,Bulbasaur,55,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/bulbasaur-55
Fire Red And Leaf Green,Bulbasaur #54,Bulbasaur,54,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/bulbasaur-54
Fire Red And Leaf Green,Snorlax [Reverse Holo] #15,Snorlax,15,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/snorlax-reverse-holo-15
Fire Red And Leaf Green,Nidoking #8,Nidoking,8,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/nidoking-8
Fire Red And Leaf Green,Squirtle [Reverse Holo] #82,Squirtle,82,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/squirtle-reverse-holo-82
Fire Red And Leaf Green,Clefable EX #106,Clefable EX,106,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/clefable-ex-106
Fire Red And Leaf Green,Mr. Mime EX #111,Mr. Mime EX,111,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/mr-mime-ex-111
Fire Red And Leaf Green,Beedrill #1,Beedrill,1,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/beedrill-1
Fire Red And Leaf Green,Magikarp [Reverse Holo] #67,Magikarp,67,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/magikarp-reverse-holo-67
Fire Red And Leaf Green,Slowbro #14,Slowbro,14,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/slowbro-14
Fire Red And Leaf Green,Charmander #58,Charmander,58,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/charmander-58
Fire Red And Leaf Green,Cubone #60,Cubone,60,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/cubone-60
