setName,pricechartingTitle,pricechartingCardName,pricechartingCardNumber,pricechartingVariant,pricechartingUrl
Mega Evolution,Bulbasaur #1,Bulbasaur,1,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/bulbasaur-1
Mega Evolution,Bulbasaur [Reverse Holo] #1,Bulbasaur,1,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/bulbasaur-reverse-holo-1
Mega Evolution,Bulbasaur [Reverse Play] #1,Bulbasaur [Reverse Play],1,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/bulbasaur-reverse-play-1
Mega Evolution,Ivysaur #2,Ivysaur,2,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/ivysaur-2
Mega Evolution,Ivysaur [Reverse Holo] #2,Ivysaur,2,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/ivysaur-reverse-holo-2
Mega Evolution,Mega Venusaur ex #3,Mega Venusaur ex,3,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/mega-venusaur-ex-3
Mega Evolution,Exeggcute #4,Exeggcute,4,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/exeggcute-4
Mega Evolution,Exeggcute [Reverse Holo] #4,Exeggcute,4,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/exeggcute-reverse-holo-4
Mega Evolution,Exeggutor #5,Exeggutor,5,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/exeggutor-5
Mega Evolution,Exeggutor [Reverse Holo] #5,Exeggutor,5,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/exeggutor-reverse-holo-5
Mega Evolution,Tangela #6,Tangela,6,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/tangela-6
Mega Evolution,Tangela [Reverse Holo] #6,Tangela,6,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/tangela-reverse-holo-6
Mega Evolution,Tangrowth #7,Tangrowth,7,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/tangrowth-7
Mega Evolution,Tangrowth [Reverse Holo] #7,Tangrowth,7,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/tangrowth-reverse-holo-7
Mega Evolution,Chikorita #8,Chikorita,8,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/chikorita-8
Mega Evolution,Chikorita [Reverse Holo] #8,Chikorita,8,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/chikorita-reverse-holo-8
Mega Evolution,Bayleef #9,Bayleef,9,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/bayleef-9
Mega Evolution,Bayleef [Reverse Holo] #9,Bayleef,9,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/bayleef-reverse-holo-9
Mega Evolution,Meganium #10,Meganium,10,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/meganium-10
Mega Evolution,Meganium [Holo] #10,Meganium,10,Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/meganium-holo-10
Mega Evolution,Meganium [Reverse Holo] #10,Meganium,10,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/meganium-reverse-holo-10
Mega Evolution,Shuckle #11,Shuckle,11,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/shuckle-11
Mega Evolution,Shuckle [Reverse Holo] #11,Shuckle,11,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/shuckle-reverse-holo-11
Mega Evolution,Celebi #12,Celebi,12,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/celebi-12
Mega Evolution,Celebi [Reverse Holo] #12,Celebi,12,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/celebi-reverse-holo-12
Mega Evolution,Seedot #13,Seedot,13,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/seedot-13
Mega Evolution,Seedot [Reverse Holo] #13,Seedot,13,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/seedot-reverse-holo-13
Mega Evolution,Nuzleaf #14,Nuzleaf,14,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/nuzleaf-14
Mega Evolution,Nuzleaf [Reverse Holo] #14,Nuzleaf,14,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/nuzleaf-reverse-holo-14
Mega Evolution,Shiftry #15,Shiftry,15,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/shiftry-15
Mega Evolution,Shiftry [Reverse Holo] #15,Shiftry,15,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/shiftry-reverse-holo-15
Mega Evolution,Nincada #16,Nincada,16,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/nincada-16
Mega Evolution,Nincada [Reverse Holo] #16,Nincada,16,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/nincada-reverse-holo-16
Mega Evolution,Ninjask #17,Ninjask,17,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/ninjask-17
Mega Evolution,Ninjask [Reverse Holo] #17,Ninjask,17,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/ninjask-reverse-holo-17
Mega Evolution,Dhelmise #18,Dhelmise,18,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/dhelmise-18
Mega Evolution,Dhelmise [Reverse Holo] #18,Dhelmise,18,Reverse Holo,https://www.pricecharting.com/game/pokemon-mega-evolution/dhelmise-reverse-holo-18
Mega Evolution,Vulpix #19,Vulpix,19,Normal,https://www.pricecharting.com/game/pokemon-mega-evolution/vulpix-19
