cardName,tagName,pokemonGeneration,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,patternType,isLegendary,isMythical,isStarter,isEeveelution,isWaifuTrainer,marketPrice,logMarketPrice,isExCard,isParadoxPokemon,isPaldeanStarter,isSVBoxLegendary,isSecretNumber,isTrainerPokemon,isPromo,isMasterBall,isTerastal
Bulbasaur - 001/132,Bulbasaur,gen1,001/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Normal,none,False,False,True,False,False,0.21,-1.560648,False,False,False,False,False,False,False,False,False
Bulbasaur - 001/132,Bulbasaur,gen1,001/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Reverse Holofoil,none,False,False,True,False,False,0.29,-1.237874,False,False,False,False,False,False,False,False,False
Ivysaur - 002/132,Ivysaur,gen1,002/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Common,Normal,none,False,False,True,False,False,0.25,-1.386294,False,False,False,False,False,False,False,False,False
Ivysaur - 002/132,Ivysaur,gen1,002/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Common,Reverse Holofoil,none,False,False,True,False,False,0.31,-1.171183,False,False,False,False,False,False,False,False,False
Mega Venusaur ex - 003/132,Venusaur,gen1,003/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 2,Double Rare,Holofoil,none,False,False,True,False,False,0.95,-0.051293,True,False,False,False,False,False,False,False,False
Exeggcute,Exeggcute,gen1,004/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Normal,none,False,False,False,False,False,0.05,-2.995732,False,False,False,False,False,False,False,False,False
Exeggcute,Exeggcute,gen1,004/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.11,-2.207275,False,False,False,False,False,False,False,False,False
Exeggutor - 005/132,Exeggutor,gen1,005/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.05,-2.995732,False,False,False,False,False,False,False,False,False
Exeggutor - 005/132,Exeggutor,gen1,005/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.22,-1.514128,False,False,False,False,False,False,False,False,False
Tangela,Tangela,gen1,006/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Normal,none,False,False,False,False,False,0.04,-3.218876,False,False,False,False,False,False,False,False,False
Tangela,Tangela,gen1,006/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.14,-1.966113,False,False,False,False,False,False,False,False,False
Tangrowth,Tangrowth,gen4,007/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.04,-3.218876,False,False,False,False,False,False,False,False,False
Tangrowth,Tangrowth,gen4,007/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.17,-1.771957,False,False,False,False,False,False,False,False,False
Chikorita,Chikorita,gen2,008/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Normal,none,False,False,True,False,False,0.25,-1.386294,False,False,False,False,False,False,False,False,False
Chikorita,Chikorita,gen2,008/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Reverse Holofoil,none,False,False,True,False,False,0.29,-1.237874,False,False,False,False,False,False,False,False,False
Bayleef,Bayleef,gen2,009/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Common,Normal,none,False,False,True,False,False,0.21,-1.560648,False,False,False,False,False,False,False,False,False
Bayleef,Bayleef,gen2,009/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Common,Reverse Holofoil,none,False,False,True,False,False,0.29,-1.237874,False,False,False,False,False,False,False,False,False
Meganium,Meganium,gen2,010/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 2,Rare,Holofoil,none,False,False,True,False,False,0.28,-1.272966,False,False,False,False,False,False,False,False,False
Meganium,Meganium,gen2,010/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 2,Rare,Reverse Holofoil,none,False,False,True,False,False,0.25,-1.386294,False,False,False,False,False,False,False,False,False
Shuckle - 011/132,Shuckle,gen2,011/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Uncommon,Normal,none,False,False,False,False,False,0.1,-2.302585,False,False,False,False,False,False,False,False,False
Shuckle - 011/132,Shuckle,gen2,011/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.18,-1.714798,False,False,False,False,False,False,False,False,False
Celebi,Celebi,gen2,012/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Uncommon,Normal,none,False,True,False,False,False,0.13,-2.040221,False,False,False,False,False,False,False,False,False
Celebi,Celebi,gen2,012/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Uncommon,Reverse Holofoil,none,False,True,False,False,False,0.23,-1.469676,False,False,False,False,False,False,False,False,False
Seedot,Seedot,gen3,013/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Normal,none,False,False,False,False,False,0.07,-2.65926,False,False,False,False,False,False,False,False,False
Seedot,Seedot,gen3,013/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.19,-1.660731,False,False,False,False,False,False,False,False,False
Nuzleaf,Nuzleaf,gen3,014/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Common,Normal,none,False,False,False,False,False,0.06,-2.813411,False,False,False,False,False,False,False,False,False
Nuzleaf,Nuzleaf,gen3,014/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Common,Reverse Holofoil,none,False,False,False,False,False,0.17,-1.771957,False,False,False,False,False,False,False,False,False
Shiftry,Shiftry,gen3,015/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 2,Uncommon,Normal,none,False,False,False,False,False,0.06,-2.813411,False,False,False,False,False,False,False,False,False
Shiftry,Shiftry,gen3,015/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 2,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.17,-1.771957,False,False,False,False,False,False,False,False,False
Nincada,Nincada,gen3,016/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Normal,none,False,False,False,False,False,0.05,-2.995732,False,False,False,False,False,False,False,False,False
Nincada,Nincada,gen3,016/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.11,-2.207275,False,False,False,False,False,False,False,False,False
Ninjask - 017/132,Ninjask,gen3,017/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.02,-3.912023,False,False,False,False,False,False,False,False,False
Ninjask - 017/132,Ninjask,gen3,017/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.13,-2.040221,False,False,False,False,False,False,False,False,False
Dhelmise,Dhelmise,gen7,018/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Normal,none,False,False,False,False,False,0.04,-3.218876,False,False,False,False,False,False,False,False,False
Dhelmise,Dhelmise,gen7,018/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.13,-2.040221,False,False,False,False,False,False,False,False,False
Vulpix - 019/132,Vulpix,gen1,019/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Normal,none,False,False,False,False,False,0.08,-2.525729,False,False,False,False,False,False,False,False,False
Vulpix - 019/132,Vulpix,gen1,019/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.26,-1.347074,False,False,False,False,False,False,False,False,False
Ninetales,Ninetales,gen1,020/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.12,-2.120264,False,False,False,False,False,False,False,False,False
Ninetales,Ninetales,gen1,020/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.24,-1.427116,False,False,False,False,False,False,False,False,False
Numel,Numel,gen3,021/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Normal,none,False,False,False,False,False,0.06,-2.813411,False,False,False,False,False,False,False,False,False
Numel,Numel,gen3,021/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.19,-1.660731,False,False,False,False,False,False,False,False,False
Mega Camerupt ex - 022/132,Camerupt,gen3,022/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Double Rare,Holofoil,none,False,False,False,False,False,0.55,-0.597837,True,False,False,False,False,False,False,False,False
Litleo - 023/132,Litleo,gen6,023/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Normal,none,False,False,False,False,False,0.07,-2.65926,False,False,False,False,False,False,False,False,False
Litleo - 023/132,Litleo,gen6,023/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.19,-1.660731,False,False,False,False,False,False,False,False,False
Pyroar,Pyroar,gen6,024/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.06,-2.813411,False,False,False,False,False,False,False,False,False
Pyroar,Pyroar,gen6,024/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.17,-1.771957,False,False,False,False,False,False,False,False,False
