cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Fuecoco - 002,Fuecoco 002,002,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,7.29
Quaxly - 003,Quaxly 003,003,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,2.65
Sprigatito - 001,Sprigatito 001,001,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,10.92
Lucario ex - 017,Lucario ex 017,017,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Stage 1,Promo,Holofoil,6.42
Ampharos ex - 016,Ampharos ex 016,016,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 2,Promo,Holofoil,5.09
Mimikyu ex - 004,Mimikyu ex 004,004,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,0.97
Quaquaval - 005 (Prerelease),Quaquaval 005 Prerelease,005,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,2.18
Pawmot - 006 (Prerelease),Pawmot 006 Prerelease,006,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 2,Promo,Holofoil,3.06
Hawlucha - 007 (Prerelease),Hawlucha 007 Prerelease,007,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Basic,Promo,Holofoil,8.71
Revavroom - 008 (Prerelease),Revavroom 008 Prerelease,008,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Stage 1,Promo,Holofoil,2.61
Miraidon - 013,Miraidon 013,013,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,6.39
Koraidon - 014,Koraidon 014,014,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Basic,Promo,Holofoil,5.51
Koraidon - 014 (Pokemon Center Exclusive),Koraidon 014 Pokemon Center Exclusive,014,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Basic,Promo,Holofoil,54.3
Miraidon - 013 (Pokemon Center Exclusive),Miraidon 013 Pokemon Center Exclusive,013,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,60.1
Spidops - 009,Spidops 009,009,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Stage 1,Promo,Holofoil,0.31
Espathra - 010,Espathra 010,010,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 1,Promo,Holofoil,0.26
Arcanine - 011,Arcanine 011,011,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 1,Promo,Holofoil,1.58
Dondozo - 012,Dondozo 012,012,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,0.33
Flaaffy - 015,Flaaffy 015,015,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 1,Promo,Normal,2.35
Tinkatink - 025 (Cosmo Holofoil),Tinkatink 025 Cosmo Holofoil,025,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,0.39
Miraidon ex - 028,Miraidon ex 028,028,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,0.7
Koraidon ex - 029,Koraidon ex 029,029,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Basic,Promo,Holofoil,0.61
Pikachu - 027,Pikachu 027,027,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,19.36
Pikachu - 027 (Pokemon Center Exclusive),Pikachu 027 Pokemon Center Exclusive,027,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,139.23
Growlithe - 024,Growlithe 024,024,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,0.5
Smoliv - 023,Smoliv 023,023,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,0.36
Baxcalibur - 019 (Prerelease),Baxcalibur 019 Prerelease,019,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,2.37
Tinkaton - 020 (Prerelease),Tinkaton 020 Prerelease,020,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 2,Promo,Holofoil,6.33
Murkrow - 021 (Prerelease),Murkrow 021 Prerelease,021,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Basic,Promo,Holofoil,2.31
Pelipper - 022 (Prerelease),Pelipper 022 Prerelease,022,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Stage 1,Promo,Holofoil,1.16
Annihilape ex - 032,Annihilape ex 032,032,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Stage 2,Promo,Holofoil,0.77
Chien-Pao ex - 030,Chien Pao ex 030,030,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,3.29
Tinkaton ex - 031,Tinkaton ex 031,031,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 2,Promo,Holofoil,9.84
Charmander - 044,Charmander 044,044,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,68.72
Charmander - 044 (Pokemon Center Exclusive),Charmander 044 Pokemon Center Exclusive,044,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,237.34
Pawmi - 040,Pawmi 040,040,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,0.34
Paldean Wooper - 041,Paldean Wooper 041,041,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Basic,Promo,Holofoil,0.52
Eevee - 043,Eevee 043,043,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,5.27
Tinkaton - 020 (Prerelease) [Staff],Tinkaton 020 Prerelease Staff,020,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 2,Promo,Holofoil,105.63
Cleffa - 037 (Prerelease),Cleffa 037 Prerelease,037,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,8.41
Houndstone - 042,Houndstone 042,042,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 1,Promo,Holofoil,0.43
Cleffa - 037 (Prerelease) [Staff],Cleffa 037 Prerelease Staff,037,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,45.6
Palafin - 036 (Prerelease),Palafin 036 Prerelease,036,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,4.18
