cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice,patternType,tagName,isLegendary,isMythical,isStarter,isEeveelution,isMascot,isWaifuTrainer
Fuecoco - 002,Fuecoco 002,002,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,7.29,none,Fuecoco 002,False,False,False,False,False,False
Quaxly - 003,Quaxly 003,003,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,2.65,none,Quaxly 003,False,False,False,False,False,False
Sprigatito - 001,Sprigatito 001,001,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,10.92,none,Sprigatito 001,False,False,False,False,False,False
Lucario ex - 017,Lucario ex 017,017,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Stage 1,Promo,Holofoil,6.42,none,Lucario ex 017,False,False,False,False,False,False
Ampharos ex - 016,Ampharos ex 016,016,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 2,Promo,Holofoil,5.09,none,Ampharos ex 016,False,False,False,False,False,False
Mimikyu ex - 004,Mimikyu ex 004,004,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,0.97,none,Mimikyu ex 004,False,False,False,False,False,False
Quaquaval - 005 (Prerelease),Quaquaval 005 Prerelease,005,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,2.18,none,Quaquaval 005 Prerelease,False,False,False,False,False,False
Pawmot - 006 (Prerelease),Pawmot 006 Prerelease,006,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 2,Promo,Holofoil,3.06,none,Pawmot 006 Prerelease,False,False,False,False,False,False
Hawlucha - 007 (Prerelease),Hawlucha 007 Prerelease,007,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Basic,Promo,Holofoil,8.71,none,Hawlucha 007 Prerelease,False,False,False,False,False,False
Revavroom - 008 (Prerelease),Revavroom 008 Prerelease,008,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Stage 1,Promo,Holofoil,2.61,none,Revavroom 008 Prerelease,False,False,False,False,False,False
Miraidon - 013,Miraidon 013,013,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,6.39,none,Miraidon 013,False,False,False,False,False,False
Koraidon - 014,Koraidon 014,014,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Basic,Promo,Holofoil,5.51,none,Koraidon 014,False,False,False,False,False,False
Koraidon - 014 (Pokemon Center Exclusive),Koraidon 014 Pokemon Center Exclusive,014,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Basic,Promo,Holofoil,54.3,none,Koraidon 014 Pokemon Center Exclusive,False,False,False,False,False,False
Miraidon - 013 (Pokemon Center Exclusive),Miraidon 013 Pokemon Center Exclusive,013,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,60.1,none,Miraidon 013 Pokemon Center Exclusive,False,False,False,False,False,False
Spidops - 009,Spidops 009,009,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Stage 1,Promo,Holofoil,0.31,none,Spidops 009,False,False,False,False,False,False
Espathra - 010,Espathra 010,010,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 1,Promo,Holofoil,0.26,none,Espathra 010,False,False,False,False,False,False
Arcanine - 011,Arcanine 011,011,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 1,Promo,Holofoil,1.58,none,Arcanine 011,False,False,False,False,False,False
Dondozo - 012,Dondozo 012,012,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,0.33,none,Dondozo 012,False,False,False,False,False,False
Flaaffy - 015,Flaaffy 015,015,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 1,Promo,Normal,2.35,none,Flaaffy 015,False,False,False,False,False,False
Tinkatink - 025 (Cosmo Holofoil),Tinkatink 025 Cosmo Holofoil,025,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,0.39,none,Tinkatink 025 Cosmo Holofoil,False,False,False,False,False,False
Miraidon ex - 028,Miraidon ex 028,028,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,0.7,none,Miraidon ex 028,False,False,False,False,False,False
Koraidon ex - 029,Koraidon ex 029,029,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Basic,Promo,Holofoil,0.61,none,Koraidon ex 029,False,False,False,False,False,False
Pikachu - 027,Pikachu 027,027,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,19.36,none,Pikachu 027,False,False,False,False,False,False
Pikachu - 027 (Pokemon Center Exclusive),Pikachu 027 Pokemon Center Exclusive,027,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,139.23,none,Pikachu 027 Pokemon Center Exclusive,False,False,False,False,False,False
Growlithe - 024,Growlithe 024,024,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,0.5,none,Growlithe 024,False,False,False,False,False,False
Smoliv - 023,Smoliv 023,023,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,0.36,none,Smoliv 023,False,False,False,False,False,False
Baxcalibur - 019 (Prerelease),Baxcalibur 019 Prerelease,019,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,2.37,none,Baxcalibur 019 Prerelease,False,False,False,False,False,False
Tinkaton - 020 (Prerelease),Tinkaton 020 Prerelease,020,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 2,Promo,Holofoil,6.33,none,Tinkaton 020 Prerelease,False,False,False,False,False,False
Murkrow - 021 (Prerelease),Murkrow 021 Prerelease,021,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Basic,Promo,Holofoil,2.31,none,Murkrow 021 Prerelease,False,False,False,False,False,False
Pelipper - 022 (Prerelease),Pelipper 022 Prerelease,022,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Stage 1,Promo,Holofoil,1.16,none,Pelipper 022 Prerelease,False,False,False,False,False,False
Annihilape ex - 032,Annihilape ex 032,032,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Stage 2,Promo,Holofoil,0.77,none,Annihilape ex 032,False,False,False,False,False,False
Chien-Pao ex - 030,Chien Pao ex 030,030,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,3.29,none,Chien Pao ex 030,False,False,False,False,False,False
Tinkaton ex - 031,Tinkaton ex 031,031,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 2,Promo,Holofoil,9.84,none,Tinkaton ex 031,False,False,False,False,False,False
Charmander - 044,Charmander 044,044,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,68.72,none,Charmander 044,False,False,False,False,False,False
Charmander - 044 (Pokemon Center Exclusive),Charmander 044 Pokemon Center Exclusive,044,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,237.34,none,Charmander 044 Pokemon Center Exclusive,False,False,False,False,False,False
Pawmi - 040,Pawmi 040,040,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,0.34,none,Pawmi 040,False,False,False,False,False,False
Paldean Wooper - 041,Paldean Wooper 041,041,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Basic,Promo,Holofoil,0.52,none,Paldean Wooper 041,False,False,False,False,False,False
Eevee - 043,Eevee 043,043,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,5.27,none,Eevee 043,False,False,False,False,False,False
Tinkaton - 020 (Prerelease) [Staff],Tinkaton 020 Prerelease Staff,020,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 2,Promo,Holofoil,105.63,none,Tinkaton 020 Prerelease Staff,False,False,False,False,False,False
Cleffa - 037 (Prerelease),Cleffa 037 Prerelease,037,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,8.41,none,Cleffa 037 Prerelease,False,False,False,False,False,False
Houndstone - 042,Houndstone 042,042,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 1,Promo,Holofoil,0.43,none,Houndstone 042,False,False,False,False,False,False
Cleffa - 037 (Prerelease) [Staff],Cleffa 037 Prerelease Staff,037,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,45.6,none,Cleffa 037 Prerelease Staff,False,False,False,False,False,False
Palafin - 036 (Prerelease),Palafin 036 Prerelease,036,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,4.18,none,Palafin 036 Prerelease,False,False,False,False,False,False
Palafin - 036 (Prerelease) [Staff],Palafin 036 Prerelease Staff,036,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,38.1,none,Palafin 036 Prerelease Staff,False,False,False,False,False,False
Togekiss - 038 (Prerelease),Togekiss 038 Prerelease,038,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 2,Promo,Holofoil,5.23,none,Togekiss 038 Prerelease,False,False,False,False,False,False
Togekiss - 038 (Prerelease) [Staff],Togekiss 038 Prerelease Staff,038,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 2,Promo,Holofoil,33.63,none,Togekiss 038 Prerelease Staff,False,False,False,False,False,False
Mawile - 039 (Prerelease),Mawile 039 Prerelease,039,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Basic,Promo,Holofoil,3.91,none,Mawile 039 Prerelease,False,False,False,False,False,False
Mawile - 039 (Prerelease) [Staff],Mawile 039 Prerelease Staff,039,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Basic,Promo,Holofoil,52.48,none,Mawile 039 Prerelease Staff,False,False,False,False,False,False
Skeledirge ex - 034,Skeledirge ex 034,034,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 2,Promo,Holofoil,0.91,none,Skeledirge ex 034,False,False,False,False,False,False
Quaquaval ex - 035,Quaquaval ex 035,035,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,0.66,none,Quaquaval ex 035,False,False,False,False,False,False
Meowscarada ex - 033,Meowscarada ex 033,033,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Stage 2,Promo,Holofoil,1.0,none,Meowscarada ex 033,False,False,False,False,False,False
Baxcalibur - 019 (Prerelease) [Staff],Baxcalibur 019 Prerelease Staff,019,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,40.44,none,Baxcalibur 019 Prerelease Staff,False,False,False,False,False,False
Revavroom - 008 (Prerelease) [Staff],Revavroom 008 Prerelease Staff,008,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Stage 1,Promo,Holofoil,32.71,none,Revavroom 008 Prerelease Staff,False,False,False,False,False,False
