cardName,tagName,pokemonGeneration,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,patternType,isLegendary,isMythical,isStarter,isEeveelution,isWaifuTrainer,marketPrice,logMarketPrice
Bulbasaur - 001/132,Bulbasaur,gen1,001/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Reverse Holofoil,none,False,False,True,False,False,0.29,-1.237874
Bulbasaur - 001/132,Bulbasaur,gen1,001/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Normal,none,False,False,True,False,False,0.21,-1.560648
Ivysaur - 002/132,Ivysaur,gen1,002/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Common,Reverse Holofoil,none,False,False,True,False,False,0.31,-1.171183
Ivysaur - 002/132,Ivysaur,gen1,002/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Common,Normal,none,False,False,True,False,False,0.25,-1.386294
Mega Venusaur ex - 003/132,Venusaur,gen1,003/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 2,Double Rare,Holofoil,none,False,False,True,False,False,0.95,-0.051293
Exeggcute,Exeggcute,gen1,004/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.11,-2.207275
Exeggcute,Exeggcute,gen1,004/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Normal,none,False,False,False,False,False,0.05,-2.995732
Exeggutor - 005/132,Exeggutor,gen1,005/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.05,-2.995732
Exeggutor - 005/132,Exeggutor,gen1,005/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.22,-1.514128
Tangela,Tangela,gen1,006/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.14,-1.966113
Tangela,Tangela,gen1,006/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Normal,none,False,False,False,False,False,0.04,-3.218876
Tangrowth,Tangrowth,gen4,007/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.04,-3.218876
Tangrowth,Tangrowth,gen4,007/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.17,-1.771957
Chikorita,Chikorita,gen2,008/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Normal,none,False,False,True,False,False,0.25,-1.386294
Chikorita,Chikorita,gen2,008/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Reverse Holofoil,none,False,False,True,False,False,0.29,-1.237874
Bayleef,Bayleef,gen2,009/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Common,Normal,none,False,False,True,False,False,0.21,-1.560648
Bayleef,Bayleef,gen2,009/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Common,Reverse Holofoil,none,False,False,True,False,False,0.29,-1.237874
Meganium,Meganium,gen2,010/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 2,Rare,Holofoil,none,False,False,True,False,False,0.28,-1.272966
Meganium,Meganium,gen2,010/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 2,Rare,Reverse Holofoil,none,False,False,True,False,False,0.25,-1.386294
Shuckle - 011/132,Shuckle,gen2,011/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Uncommon,Normal,none,False,False,False,False,False,0.1,-2.302585
Shuckle - 011/132,Shuckle,gen2,011/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.18,-1.714798
Celebi,Celebi,gen2,012/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Uncommon,Reverse Holofoil,none,False,True,False,False,False,0.23,-1.469676
Celebi,Celebi,gen2,012/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Uncommon,Normal,none,False,True,False,False,False,0.13,-2.040221
Seedot,Seedot,gen3,013/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.19,-1.660731
Seedot,Seedot,gen3,013/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Normal,none,False,False,False,False,False,0.07,-2.65926
Nuzleaf,Nuzleaf,gen3,014/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Common,Reverse Holofoil,none,False,False,False,False,False,0.17,-1.771957
Nuzleaf,Nuzleaf,gen3,014/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Common,Normal,none,False,False,False,False,False,0.06,-2.813411
Shiftry,Shiftry,gen3,015/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 2,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.17,-1.771957
Shiftry,Shiftry,gen3,015/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 2,Uncommon,Normal,none,False,False,False,False,False,0.06,-2.813411
Nincada,Nincada,gen3,016/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Normal,none,False,False,False,False,False,0.05,-2.995732
