productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack2,extResistance
477182,Fuecoco - 002,Fuecoco 002,https://tcgplayer-cdn.tcgplayer.com/product/477182_200w.jpg,3,22872,https://cpt.tcgcsv.com/GTQ5,2023-08-31T15:02:35.203,1,002,Promo,Fire,80,Basic,"[1RR] Super Singe (30)
<br>
Your opponent's Active Pokémon is now Burned.",Wx2,2,5.29,7.51,96.87,7.29,,Holofoil,,,
477183,Quaxly - 003,Quaxly 003,https://tcgplayer-cdn.tcgplayer.com/product/477183_200w.jpg,3,22872,https://cpt.tcgcsv.com/HTQ5,2026-02-12T19:38:48.357,1,003,Promo,Water,70,Basic,"[1W] Water Splash (20+)
<br>
Flip a coin. If heads, this attack does 20 more damage.",Lx2,1,1.0,2.51,30.8,2.65,3.95,Holofoil,,,
477184,Sprigatito - 001,Sprigatito 001,https://tcgplayer-cdn.tcgplayer.com/product/477184_200w.jpg,3,22872,https://cpt.tcgcsv.com/JTQ5,2023-08-31T15:02:28.727,1,001,Promo,Grass,70,Basic,"[G] Mini Drain (10)
<br>
Heal 10 damage from this Pokémon.",Rx2,1,8.68,10.99,226.2,10.92,,Holofoil,,,
484396,Lucario ex - 017,Lucario ex 017,https://tcgplayer-cdn.tcgplayer.com/product/484396_200w.jpg,3,22872,https://cpt.tcgcsv.com/XMT5,2026-02-16T20:21:37.31,1,017,Promo,Fighting,260,Stage 1,[1F] Low Sweep (60),Px2,2,4.99,6.42,59.97,6.42,6.45,Holofoil,"<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[1FF] Aura Sphere (160)
<br>
This attack also does 50 damage to 1 of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",
484397,Ampharos ex - 016,Ampharos ex 016,https://tcgplayer-cdn.tcgplayer.com/product/484397_200w.jpg,3,22872,https://cpt.tcgcsv.com/ZMT5,2026-02-10T01:25:09.337,1,016,Promo,Lightning,330,Stage 2,[L] Electro Ball (60),Fx2,2,3.82,5.25,50.23,5.09,5.39,Holofoil,"<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[2L] Thunderstrike Tail (140+)
<br>
You may discard 2 Energy from this Pokémon to have this attack do 100 more damage.",
487435,Mimikyu ex - 004,Mimikyu ex 004,https://tcgplayer-cdn.tcgplayer.com/product/487435_200w.jpg,3,22872,https://cpt.tcgcsv.com/K-V5,2025-11-11T23:34:32.477,1,004,Promo,Psychic,190,Basic,"[P] Void Return (30)
<br>You may switch this Pokémon with 1 of your Benched Pokémon.",Mx2,1,0.1,1.0,4321.0,0.97,0.76,Holofoil,,"[P2] Energy Burst (30x)
<br>This attack does 30 damage for each Energy attached to both Active Pokémon.",
487751,Quaquaval - 005 (Prerelease),Quaquaval 005 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/487751_200w.jpg,3,22872,https://cpt.tcgcsv.com/27W5,2026-03-11T13:14:23.703,1,005,Promo,Water,170,Stage 2,[2W] Hydro Kick (140),Lx2,2,1.0,2.2,4321.0,2.18,4.49,Holofoil,"<strong>Ability — Energy Carnival</strong>
<br>
Once during your turn, you may attach a Basic Energy card from your hand to 1 of your Pokémon.",,
487752,Pawmot - 006 (Prerelease),Pawmot 006 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/487752_200w.jpg,3,22872,https://cpt.tcgcsv.com/37W5,2026-02-13T21:31:26.95,1,006,Promo,Lightning,130,Stage 2,"[1LL] Electro Paws (230)
<br>
Discard all Energy from this Pokémon.",Fx2,,1.9,3.08,4321.0,3.06,5.99,Holofoil,"<strong>Ability — Electrogenesis</strong>
<br>
Once during your turn, you may search your deck for a Basic Lightning Energy card and attach it to this Pokémon. Then, shuffle your deck.",,
487755,Hawlucha - 007 (Prerelease),Hawlucha 007 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/487755_200w.jpg,3,22872,https://cpt.tcgcsv.com/77W5,2026-01-06T21:40:27.637,1,007,Promo,Fighting,70,Basic,[2F] Wing Attack (70),Px2,1,4.97,8.6,4321.0,8.71,4.99,Holofoil,"<strong>Ability — Flying Entry</strong>
<br>
When you play this Pokémon from your hand onto your Bench during your turn, you may choose 2 of your opponent's Benched Pokémon and put 1 damage counter on each of them.",,
487756,Revavroom - 008 (Prerelease),Revavroom 008 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/487756_200w.jpg,3,22872,https://cpt.tcgcsv.com/87W5,2026-02-12T19:38:53.247,1,008,Promo,Metal,140,Stage 1,"[3M] Knock Away (90+)
<br>
Flip a coin. If heads, this attack does 90 more damage.",Rx2,2,1.96,2.65,32.28,2.61,3.43,Holofoil,"<strong>Ability — Rumbling Engine</strong>
<br>
You must discard an Energy card from your hand in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand.",,G-30
