card_name,set_name,grade,sale_date,title,price,ebay_url,source_url
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-28,2025 POKEMON PFL EN-PHANTASMAL FLAMES #125 MEGA CHARIZARD X EX PSA 10 GEM MINT #125,2520.0,https://www.ebay.com/itm/406945270479?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-28,2025 Pokemon PFL EN Special Illustration Rare #125 Mega Charizard X ex PSA 10,2400.0,https://www.ebay.com/itm/366422741007?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-28,2025 POKEMON PFL EN-PHANTASMAL FLAMES #125 MEGA CHARIZARD X EX PSA 10 #125,2200.0,https://www.ebay.com/itm/117217052871?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-28,Pokemon Mega Charizard X ex PSA 10 SIR Holo EN Me02 Phantasmal Flames 125/094 125/094,2499.99,https://www.ebay.com/itm/157946695373?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-28,2025 POKEMON MEGA CHARIZARD X ex SPECIAL ILLUS. R PHANTASMAL FLAMES #125 PSA 10 125/094,2375.0,https://www.ebay.com/itm/800045571911?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-28,MEGA CHARIZARD X EX 2025 POKEMON PHANTASMAL FLAMES SIR #125/094 PSA 10 Q3963 #125,2375.0,https://www.ebay.com/itm/278006258993?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-28,2025 POKEMON PFL EN-PHANTASMAL FLAMES #125 MEGA CHARIZARD X EX PSA 10 GEM MINT #125,2400.0,https://www.ebay.com/itm/406945265030?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-28,2025 POKEMON PFL EN-PHANTASMAL FLAMES #125 MEGA CHARIZARD X EX PSA 10 GEM MINT #125,2356.0,https://www.ebay.com/itm/406945258638?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-27,2025 POKEMON PFL EN-PHANTASMAL FLAMES #125 MEGA CHARIZARD X EX PSA 10 GEM MINT,2400.0,https://www.ebay.com/itm/366419913514?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-27,2025 POKEMON PHANTASMAL FLAMES SPECIAL ILLUSTRATION MEGA CHARIZARD X EX PSA 10 #125,2500.0,https://www.ebay.com/itm/306947009451?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-27,MEGA CHARIZARD X EX 2025 POKEMON PHANTASMAL FLAMES SIR #125/094 PSA 10 Q3963 #125,2451.0,https://www.ebay.com/itm/278002944970?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-27,2025 POKEMON PFL EN-PHANTASMAL FLAMES #125 MEGA CHARIZARD X EX PSA 10 #125,2550.0,https://www.ebay.com/itm/117202664891?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-27,2025 POKEMON PHANTASMAL FLAMES SPECIAL ILLUSTRATION MEGA CHARIZARD X EX PSA 10 #125,2563.0,https://www.ebay.com/itm/298330276503?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-25,Pokemon 2025 Mega Charizard X ex 125/094 SIR Phantasmal Flames GEM MINT PSA 10 125/094,2599.0,https://www.ebay.com/itm/406951046353?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-25,Pokemon 2025 Mega Charizard X ex 125/094 SIR Phantasmal Flames GEM MINT PSA 10 125/094,2649.99,https://www.ebay.com/itm/406944691519?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-25,2025 POKEMON PFL EN-PHANTASMAL FLAMES #125 MEGA CHARIZARD X EX PSA 10 #125,2600.0,https://www.ebay.com/itm/117213024780?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-25,2025 Pokemon Phantasmal Flames Mega Charizard X Ex #125 PSA 10 Spec. Illus. Rare #125,2501.0,https://www.ebay.com/itm/366413675685?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-25,Pokemon 2025 Mega Charizard X ex 125/094 SIR Phantasmal Flames GEM MINT PSA 10 125/094,2550.0,https://www.ebay.com/itm/406927719162?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-25,MEGA CHARIZARD X EX 2025 POKEMON PHANTASMAL FLAMES #125 SIR PSA 10 Q3963 #125,2501.0,https://www.ebay.com/itm/277988618195?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-25,2025 POKEMON PHANTASMAL FLAMES SPECIAL ILLUSTRATION MEGA CHARIZARD X EX PSA 10 #125,2550.0,https://www.ebay.com/itm/306943425494?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-25,Pokemon 2025 Mega Charizard X ex 125/094 SIR Phantasmal Flames GEM MINT PSA 10 125/094,2550.0,https://www.ebay.com/itm/147315871277?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
Mega Charizard X ex #125,Phantasmal Flames,PSA 10,2026-05-24,Pokemon Mega Charizard X ex Phantasmal Flames SIR #125 PSA 10 Gem Mint,2450.0,https://www.ebay.com/itm/287333470727?nordt=true&rt=nc&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338999485&customid=noId&toolid=10001,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-125?q=mega+charizard+x+ex+125
